序号,标题,链接,BV号,时长,播放量,评论数,发布时间,subtitle_status,subtitle_error,fallback_needed,fallback_status,fallback_error,video_file_path,analysis_file_path
1,15分钟，搭建你的AI职场秘书团,https://www.bilibili.com/video/BV1L8f3BBEop,BV1L8f3BBEop,13:34,803,1,2026-02-22 21:00:00,failed,该视频无字幕,True,completed,Gemini 分析失败,D:\桌面\biliSub\downloaded_videos\JeffSu杰夫\15分钟，搭建你的AI职场秘书团.mp4,D:\桌面\biliSub\MediaCrawler\bilibili_subtitles\JeffSu杰夫\15分钟，搭建你的AI职场秘书团_视频分析.md
2,90%的工作只需要这10%的AI工具来完成,https://www.bilibili.com/video/BV1cFFEzKELg,BV1cFFEzKELg,10:54,8192,13,2026-02-08 21:00:00,failed,该视频无字幕,True,completed,Gemini 分析失败,D:\桌面\biliSub\downloaded_videos\JeffSu杰夫\90%的工作只需要这10%的AI工具来完成.mp4,D:\桌面\biliSub\MediaCrawler\bilibili_subtitles\JeffSu杰夫\90%的工作只需要这10%的AI工具来完成_视频分析.md
3,2026年，这6大AI趋势将拉开人与人的差距,https://www.bilibili.com/video/BV19DzuB2EY9,BV19DzuB2EY9,13:13,5153,7,2026-01-25 21:00:00,failed,该视频无字幕,True,completed,Gemini 分析失败,D:\桌面\biliSub\downloaded_videos\JeffSu杰夫\2026年，这6大AI趋势将拉开人与人的差距.mp4,D:\桌面\biliSub\MediaCrawler\bilibili_subtitles\JeffSu杰夫\2026年，这6大AI趋势将拉开人与人的差距_视频分析.md
4,AI办公革命！12分钟掌握Gemini 3.0的核心用法,https://www.bilibili.com/video/BV1C6rNBREdL,BV1C6rNBREdL,12:12,20398,21,2026-01-11 21:00:00,failed,该视频无字幕,True,completed,,D:\桌面\biliSub\downloaded_videos\JeffSu杰夫\AI办公革命！12分钟掌握Gemini 3.0的核心用法.mp4,D:\桌面\biliSub\MediaCrawler\bilibili_subtitles\JeffSu杰夫\AI办公革命！12分钟掌握Gemini 3.0的核心用法_视频分析.md
5,3个高效习惯，在AI模型的快速迭代中找到自己的节奏,https://www.bilibili.com/video/BV1rYBYBWETa,BV1rYBYBWETa,08:55,5066,19,2025-12-28 21:00:00,failed,该视频无字幕,True,completed,Gemini 分析失败,D:\桌面\biliSub\downloaded_videos\JeffSu杰夫\3个高效习惯，在AI模型的快速迭代中找到自己的节奏.mp4,D:\桌面\biliSub\MediaCrawler\bilibili_subtitles\JeffSu杰夫\3个高效习惯，在AI模型的快速迭代中找到自己的节奏_视频分析.md
6,80%的Notion功能，靠这1招全搞定👌,https://www.bilibili.com/video/BV1WYm7B6Etb,BV1WYm7B6Etb,13:46,7991,4,2025-12-14 21:00:00,failed,该视频无字幕,True,completed,,D:\桌面\biliSub\downloaded_videos\JeffSu杰夫\80%的Notion功能，靠这1招全搞定👌.mp4,D:\桌面\biliSub\MediaCrawler\bilibili_subtitles\JeffSu杰夫\80%的Notion功能，靠这1招全搞定👌_视频分析.md
7,【PPT干货】世界顶级咨询公司的PPT都在用的5个高级感PPT技巧,https://www.bilibili.com/video/BV1qV2LBQEuY,BV1qV2LBQEuY,09:09,7799,8,2025-12-07 21:00:00,failed,该视频无字幕,True,completed,,D:\桌面\biliSub\downloaded_videos\JeffSu杰夫\【PPT干货】世界顶级咨询公司的PPT都在用的5个高级感PPT技巧.mp4,D:\桌面\biliSub\MediaCrawler\bilibili_subtitles\JeffSu杰夫\【PPT干货】世界顶级咨询公司的PPT都在用的5个高级感PPT技巧_视频分析.md
8,4个逆天技巧，让ChatGPT变成你的“神队友”🔥,https://www.bilibili.com/video/BV1LNSjBZENR,BV1LNSjBZENR,10:10,4124,13,2025-11-30 21:00:00,failed,该视频无字幕,True,completed,Gemini 分析失败,D:\桌面\biliSub\downloaded_videos\JeffSu杰夫\4个逆天技巧，让ChatGPT变成你的“神队友”🔥.mp4,D:\桌面\biliSub\MediaCrawler\bilibili_subtitles\JeffSu杰夫\4个逆天技巧，让ChatGPT变成你的“神队友”🔥_视频分析.md
9,告别混乱！简单高效的文件管理技巧📁,https://www.bilibili.com/video/BV1hAULBjE6f,BV1hAULBjE6f,08:44,8504,9,2025-11-23 21:00:00,failed,该视频无字幕,True,failed,视频下载失败,,
10,职场人必看！6600+谷歌员工都在用的CORE工作流🧑🏻‍💻,https://www.bilibili.com/video/BV1bDCTBCESp,BV1bDCTBCESp,08:12,16917,20,2025-11-16 21:00:00,failed,该视频无字幕,True,failed,视频下载失败,,
