序号,标题,链接,BV号,时长,播放量,评论数,发布时间,subtitle_status,subtitle_error,fallback_needed,fallback_status
1,Kimi Claw Beta版来啦！,https://www.bilibili.com/video/BV1PUZ5BFEx5,BV1PUZ5BFEx5,00:32,7241,62,2026-02-17 14:00:00,failed,该视频无字幕,True,pending
2,不只PPT，Kimi K2.5 Agent 可以帮你做 Excel、Word 和 PDF 啦！,https://www.bilibili.com/video/BV1JWzZB8Efm,BV1JWzZB8Efm,01:09,29299,139,2026-01-29 14:17:40,success,,,
3,大家好，我是杨植麟，我来B站发个新模型！,https://www.bilibili.com/video/BV15F63BWE7e,BV15F63BWE7e,04:14,102165,706,2026-01-27 18:09:22,success,,,
4,Kimi K2.5 全能 Agent 模型来啦！,https://www.bilibili.com/video/BV1gA6uBCEqB,BV1gA6uBCEqB,01:00,21944,187,2026-01-27 14:31:11,failed,该视频无字幕,True,pending
5,Kimi K2 Thinking：搜搜搜，想想想，写写写,https://www.bilibili.com/video/BV1abCcBeEk6,BV1abCcBeEk6,00:59,22560,154,2025-11-10 21:42:22,failed,该视频无字幕,True,pending
6,都是Kimi K2，表现却不同？,https://www.bilibili.com/video/BV1cEyCBKELb,BV1cEyCBKELb,00:46,5599,45,2025-10-28 22:06:55,success,,,
7,你的全栈助理，OK Computer来了！,https://www.bilibili.com/video/BV1YXnvz4EK2,BV1YXnvz4EK2,01:03,60077,143,2025-09-29 15:50:52,failed,该视频无字幕,True,pending
8,Kimi K2，让创意设计，不止在想象里,https://www.bilibili.com/video/BV14xtqzMEhj,BV14xtqzMEhj,00:37,13415,51,2025-08-07 16:23:19,failed,该视频无字幕,True,pending
9,Hello world，Kimi K2来了！,https://www.bilibili.com/video/BV1ihuezaEWP,BV1ihuezaEWP,00:46,12703,69,2025-07-14 10:46:29,failed,该视频无字幕,True,pending
10,超强视觉+超强推理，我，Kimi，带着数理化王炸k1来了！,https://www.bilibili.com/video/BV11qkcYREMQ,BV11qkcYREMQ,01:59,8772,1,2024-12-18 19:09:06,success,,,
